Date,Open,High,Low,Close,Volume,Change,Symbol
2021-01-04,20040,20040,19700,19830,24405,-0.001007556675063026,276650
2021-01-05,19830,19830,19065,19660,34635,-0.008572869389813387,276650
2021-01-06,19660,19760,19620,19750,28775,0.004577822990844416,276650
2021-01-07,19495,19520,19385,19500,26747,-0.012658227848101222,276650
2021-01-08,20135,20135,19750,19840,35954,0.017435897435897463,276650
2021-01-11,20140,20210,19870,20050,15837,0.01058467741935476,276650
2021-01-12,20030,20030,19610,19650,59433,-0.01995012468827928,276650
2021-01-13,19870,19875,19690,19720,39166,0.003562340966921207,276650
2021-01-14,19730,19985,19730,19970,18823,0.012677484787018356,276650
2021-01-15,20695,20695,19740,19870,25444,-0.005007511266900355,276650
2021-01-18,19855,19855,19570,19600,16100,-0.013588324106693528,276650
2021-01-19,19920,19920,19605,19825,1658,0.011479591836734748,276650
2021-01-20,19925,20065,19880,20015,32470,0.009583858764186548,276650
2021-01-21,20830,20830,20360,20635,27754,0.030976767424431673,276650
2021-01-22,20810,20825,20565,20570,42661,-0.003149987884662031,276650
2021-01-25,20575,20750,20530,20740,42006,0.008264462809917328,276650
2021-01-26,20735,20935,20735,20785,25294,0.002169720347155346,276650
2021-01-27,20560,20890,20560,20785,29247,0.0,276650
2021-01-28,20345,20765,20150,20325,31610,-0.022131344719749868,276650
2021-01-29,20325,20475,20130,20140,19838,-0.009102091020910197,276650
2021-02-01,20365,20365,19705,20150,10076,0.0004965243296921606,276650
2021-02-02,20500,20605,20305,20530,6621,0.018858560794044577,276650
2021-02-03,20925,20925,20600,20730,16485,0.009741841207988378,276650
2021-02-04,21235,21235,20700,20895,18520,0.00795947901591898,276650
2021-02-05,20960,21280,20895,21110,10382,0.010289542952859554,276650
2021-02-08,21295,21295,20895,21160,21929,0.002368545712932324,276650
2021-02-09,21100,21320,21100,21315,32281,0.007325141776937549,276650
2021-02-10,21345,21350,21145,21330,30515,0.0007037297677692234,276650
2021-02-15,20915,21590,20915,21575,37733,0.011486169714017835,276650
2021-02-16,21735,21860,21660,21820,2998,0.011355735805330225,276650
2021-02-17,21505,21815,21440,21640,55972,-0.008249312557286892,276650
2021-02-18,21355,22065,20780,21355,38185,-0.013170055452865093,276650
2021-02-19,21345,21345,21070,21215,36337,-0.006555841723249856,276650
2021-02-22,21715,21715,21120,21290,8335,0.0035352345038888178,276650
2021-02-23,21035,21150,20420,20880,11188,-0.019257867543447604,276650
2021-02-24,20880,20880,20460,20625,31075,-0.012212643678160884,276650
2021-02-25,20685,20985,20685,20950,5491,0.01575757575757586,276650
2021-02-26,20325,20400,20100,20100,50279,-0.04057279236276845,276650
2021-03-02,20270,20900,20270,20850,11539,0.03731343283582089,276650
2021-03-03,20280,20710,20280,20650,7167,-0.00959232613908878,276650
2021-03-04,20560,20560,20000,20000,6588,-0.03147699757869249,276650
2021-03-05,19645,19815,19590,19750,61418,-0.012499999999999956,276650
2021-03-08,20040,20065,19850,19850,7934,0.005063291139240533,276650
2021-03-09,19625,19715,19355,19490,6174,-0.01813602015113347,276650
2021-03-10,19740,20090,19740,19935,9083,0.02283222165212928,276650
2021-03-11,19935,20090,19885,20065,6336,0.00652119388011041,276650
2021-03-12,20380,20535,20380,20430,2932,0.01819087964116628,276650
2021-03-15,20405,20515,20100,20320,4157,-0.005384238864415081,276650
2021-03-16,20250,20475,20250,20440,9860,0.0059055118110236116,276650
2021-03-17,20540,20700,20530,20660,2609,0.010763209393346296,276650
2021-03-18,20705,20705,20555,20635,2294,-0.001210067763794731,276650
2021-03-19,20610,20610,20000,20135,14615,-0.024230676035861376,276650
2021-03-22,20370,20370,20040,20100,4351,-0.0017382666997765028,276650
2021-03-23,20340,20445,20275,20275,9090,0.008706467661691475,276650
2021-03-24,19940,20375,19940,20175,8603,-0.004932182490752113,276650
2021-03-25,20115,20115,19945,19990,8708,-0.009169764560099103,276650
2021-03-26,19990,20060,19925,20035,8599,0.0022511255627812865,276650
2021-03-29,20375,20415,20225,20365,2595,0.016471175442974717,276650
2021-03-30,20540,20540,20270,20390,4742,0.0012275963663148648,276650
2021-03-31,20495,20495,20125,20275,3233,-0.005640019617459524,276650
2021-04-01,20300,20510,20300,20505,3814,0.011344019728730004,276650
2021-04-02,20545,21005,20545,21000,5000,0.024140453547915053,276650
2021-04-05,21050,21110,21050,21100,744,0.004761904761904745,276650
2021-04-06,21400,21440,21090,21300,11491,0.009478672985782088,276650
2021-04-07,21680,21680,21205,21375,6282,0.0035211267605634866,276650
2021-04-08,20880,21620,20880,21390,9013,0.00070175438596487,276650
2021-04-09,21585,21780,21585,21645,9983,0.01192145862552585,276650
2021-04-12,21650,21995,21650,21685,25852,0.0018480018480018234,276650
2021-04-13,21685,21755,21535,21565,19338,-0.005533779109983872,276650
2021-04-14,21715,21925,21715,21890,17738,0.015070716438673859,276650
2021-04-15,21890,21890,21515,21740,5839,-0.006852444038373706,276650
2021-04-16,21825,22190,21820,21900,27475,0.007359705611775569,276650
2021-04-19,21435,22045,21435,22015,20229,0.005251141552511385,276650
2021-04-20,22145,22145,21725,21885,15633,-0.005905064728594089,276650
2021-04-21,21695,21760,21530,21690,9774,-0.008910212474297463,276650
2021-04-22,21710,21855,21710,21725,13381,0.0016136468418626038,276650
2021-04-23,22190,22190,21555,21640,8156,-0.0039125431530494525,276650
2021-04-26,21860,21990,21860,21880,8910,0.01109057301293892,276650
2021-04-27,22220,22220,21975,21975,8313,0.004341864716636223,276650
2021-04-28,21975,22075,21875,21920,8362,-0.0025028441410693825,276650
2021-04-29,22030,22040,21855,22000,17177,0.0036496350364962904,276650
2021-04-30,22825,22825,21930,21995,7860,-0.00022727272727274261,276650
2021-05-03,22615,22615,21620,21780,10716,-0.0097749488520118,276650
2021-05-04,21525,21745,21525,21740,13391,-0.0018365472910927272,276650
2021-05-06,21345,21345,21180,21280,6978,-0.021159153633854677,276650
2021-05-07,21330,21430,21305,21415,4435,0.0063439849624060685,276650
2021-05-10,21915,21915,21490,21500,3830,0.00396918048097139,276650
2021-05-11,21475,21475,20990,21095,7195,-0.018837209302325575,276650
2021-05-12,21015,21015,20820,20825,3430,-0.012799241526428085,276650
2021-05-13,20820,20820,20260,20400,2845,-0.020408163265306145,276650
2021-05-14,20400,20590,20400,20500,2364,0.004901960784313708,276650
2021-05-17,20735,21025,20735,20965,2543,0.022682926829268313,276650
2021-05-18,20765,21000,20765,21000,4294,0.0016694490818029983,276650
2021-05-20,20915,20915,20740,20910,3199,-0.004285714285714337,276650
2021-05-21,20920,21275,20920,21270,3395,0.017216642754662947,276650
2021-05-24,21270,21270,21010,21155,26924,-0.005406676069581562,276650
2021-05-25,21355,21510,21345,21510,2966,0.016780902859844016,276650
2021-05-26,21640,21640,21470,21600,4979,0.004184100418409997,276650
2021-05-27,21600,21600,21475,21475,2941,-0.0057870370370370905,276650
2021-05-28,21385,21525,21385,21505,1656,0.0013969732246799094,276650
2021-05-31,21510,21590,21445,21575,7147,0.0032550569634968163,276650
2021-06-01,21595,21595,21480,21485,2283,-0.004171494785631502,276650
2021-06-02,21485,21620,21485,21485,15184,0.0,276650
2021-06-03,21540,21650,21540,21600,1871,0.005352571561554553,276650
2021-06-04,21570,21570,21330,21330,2540,-0.012499999999999956,276650
2021-06-07,21275,21820,21275,21690,1517,0.016877637130801704,276650
2021-06-08,21690,21825,21690,21715,3832,0.001152604887044717,276650
2021-06-09,21315,21815,21310,21660,6339,-0.0025328114206769614,276650
2021-06-10,21795,21810,21695,21695,5324,0.001615881809787556,276650
2021-06-11,22020,22020,21855,21885,9264,0.00875777828992863,276650
2021-06-14,21890,22075,21890,21945,5116,0.002741603838245288,276650
2021-06-15,22115,22260,22115,22165,3934,0.010025062656641603,276650
2021-06-16,22165,22190,22055,22170,6332,0.00022558087074209254,276650
2021-06-17,22020,22055,21930,21985,15474,-0.008344609833107808,276650
2021-06-18,22085,22265,22085,22190,5971,0.009324539458721803,276650
2021-06-21,22195,22195,21915,21935,3165,-0.011491662911221279,276650
2021-06-22,22090,22180,22090,22140,6899,0.009345794392523255,276650
2021-06-23,22285,22360,22255,22280,4657,0.006323396567299078,276650
2021-06-24,22285,22385,22255,22370,9284,0.004039497307001705,276650
2021-06-25,22810,22810,22410,22475,16055,0.0046937863209655095,276650
2021-06-28,22040,22485,22040,22445,27090,-0.0013348164627363657,276650
2021-06-29,22790,22790,22505,22570,12333,0.005569169079973291,276650
2021-06-30,22580,22805,22580,22750,17067,0.007975188303057212,276650
2021-07-01,22755,22755,22565,22670,26905,-0.003516483516483482,276650
2021-07-02,22755,22755,22615,22640,26531,-0.0013233348037053894,276650
2021-07-05,22655,22975,22655,22880,26964,0.010600706713780994,276650
2021-07-06,23100,23100,22645,22920,305,0.0017482517482516613,276650
2021-07-07,23050,23050,22900,23020,64116,0.0043630017452007674,276650
2021-07-08,23020,23085,23020,23070,26709,0.002172024326672517,276650
2021-07-09,22575,22880,22575,22880,28046,-0.008235804074555708,276650
2021-07-12,23100,23125,22990,23115,29019,0.010270979020978954,276650
2021-07-13,23140,23190,23045,23150,14395,0.00151416828898987,276650
2021-07-14,23150,23265,23140,23210,27520,0.0025917926565874883,276650
2021-07-15,23215,23435,23215,23435,9260,0.009694097371822474,276650
2021-07-16,23435,23435,23060,23170,35363,-0.011307872839769528,276650
2021-07-19,23170,23170,22880,22950,26701,-0.009495036685368996,276650
2021-07-20,22675,22675,22555,22650,16460,-0.013071895424836555,276650
2021-07-21,22660,22925,22660,22840,26192,0.008388520971302382,276650
2021-07-22,23040,23150,23040,23095,14739,0.01116462346760061,276650
2021-07-23,23100,23340,23100,23300,12267,0.008876380168867826,276650
