Date,Open,High,Low,Close,Volume,Change,Symbol
2021-01-04,5520,5530,5140,5140,11764831,0.00982318271119853,004770
2021-01-05,5140,5200,5010,5100,3910661,-0.0077821011673151474,004770
2021-01-06,5160,5340,5060,5100,7644297,0.0,004770
2021-01-07,5140,5470,5100,5260,19184096,0.031372549019607954,004770
2021-01-08,5300,5350,5160,5210,5231811,-0.009505703422053258,004770
2021-01-11,5210,5270,4860,4930,4025930,-0.053742802303263004,004770
2021-01-12,4845,5020,4730,4865,2818108,-0.013184584178498993,004770
2021-01-13,4860,4920,4805,4820,1528360,-0.009249743062692661,004770
2021-01-14,4855,4905,4735,4760,1705330,-0.012448132780082943,004770
2021-01-15,4770,4890,4585,4675,2891115,-0.017857142857142905,004770
2021-01-18,4625,4715,4535,4570,1716192,-0.022459893048128343,004770
2021-01-19,4565,4985,4520,4660,7534060,0.01969365426695835,004770
2021-01-20,4660,4720,4575,4635,1451456,-0.005364806866952843,004770
2021-01-21,4635,4710,4620,4660,1095900,0.005393743257820827,004770
2021-01-22,4660,4780,4600,4715,1922565,0.011802575107296098,004770
2021-01-25,4750,4815,4720,4735,1408812,0.0042417815482502785,004770
2021-01-26,4735,4775,4670,4680,856582,-0.011615628299894376,004770
2021-01-27,4730,4840,4690,4700,1255340,0.004273504273504258,004770
2021-01-28,4600,5170,4560,4690,11900001,-0.0021276595744680327,004770
2021-01-29,4695,4935,4620,4805,6551206,0.024520255863539342,004770
2021-02-01,4755,4770,4645,4705,1740938,-0.020811654526534884,004770
2021-02-02,4675,4760,4660,4690,1263577,-0.0031880977683315104,004770
2021-02-03,4730,4880,4695,4880,3009467,0.04051172707889128,004770
2021-02-04,4885,4970,4800,4905,3447601,0.0051229508196721785,004770
2021-02-05,4910,4915,4690,4700,2087135,-0.041794087665647295,004770
2021-02-08,4640,4655,4580,4600,1100155,-0.021276595744680882,004770
2021-02-09,4620,4640,4550,4550,858555,-0.010869565217391353,004770
2021-02-10,4555,4630,4540,4595,601965,0.009890109890109855,004770
2021-02-15,4615,4675,4570,4630,933562,0.007616974972796564,004770
2021-02-16,4670,4670,4570,4575,805923,-0.011879049676025932,004770
2021-02-17,4590,4655,4570,4640,737195,0.014207650273224015,004770
2021-02-18,4640,4745,4620,4695,1139279,0.0118534482758621,004770
2021-02-19,4665,4780,4630,4675,1323207,-0.004259850905218299,004770
2021-02-22,4780,4780,4700,4735,1159477,0.012834224598930577,004770
2021-02-23,4735,4745,4645,4690,816868,-0.009503695881731833,004770
2021-02-24,4670,4710,4280,4350,1264453,-0.07249466950959493,004770
2021-02-25,4410,4485,4380,4405,811250,0.012643678160919603,004770
2021-02-26,4310,4350,4210,4255,997190,-0.034052213393870656,004770
2021-03-02,4395,4470,4295,4345,1103819,0.021151586368977737,004770
2021-03-03,4345,4500,4345,4410,652997,0.014959723820483273,004770
2021-03-04,4380,4720,4340,4665,3431112,0.05782312925170063,004770
2021-03-05,4600,4650,4520,4630,856010,-0.007502679528403,004770
2021-03-08,4700,4855,4525,4590,3358782,-0.008639308855291628,004770
2021-03-09,4615,4835,4545,4735,4769032,0.031590413943355156,004770
2021-03-10,4740,4760,4485,4485,1389395,-0.05279831045406547,004770
2021-03-11,4465,4665,4330,4400,1759654,-0.018952062430323324,004770
2021-03-12,4365,4460,4360,4410,867314,0.002272727272727204,004770
2021-03-15,4270,4300,3920,3985,5150702,-0.09637188208616776,004770
2021-03-16,4025,4505,3955,4185,17531823,0.050188205771643624,004770
2021-03-17,4250,4300,4050,4210,3525056,0.005973715651135025,004770
2021-03-18,4220,4220,4015,4070,3336560,-0.0332541567695962,004770
2021-03-19,4000,4245,3980,4140,3876451,0.017199017199017286,004770
2021-03-22,4230,4280,4115,4160,4735149,0.004830917874396157,004770
2021-03-23,4260,4300,2970,3325,19793467,-0.20072115384615385,004770
2021-03-24,3350,3430,3060,3215,3870882,-0.03308270676691727,004770
2021-03-25,3220,3330,3205,3300,1701438,0.026438569206842955,004770
2021-03-26,3295,3405,3295,3375,1608215,0.022727272727272707,004770
2021-03-29,3395,3420,3320,3340,1025904,-0.010370370370370363,004770
2021-03-30,3350,3500,3345,3465,1673332,0.03742514970059885,004770
2021-03-31,3475,3505,3410,3450,1036105,-0.0043290043290042934,004770
2021-04-01,3485,3485,3430,3450,748726,0.0,004770
2021-04-02,3520,3690,3500,3670,3565865,0.06376811594202891,004770
2021-04-05,3695,3885,3685,3885,2657583,0.058583106267029894,004770
2021-04-06,3930,3935,3610,3900,1762392,0.0038610038610038533,004770
2021-04-07,3920,4115,3875,4105,3104782,0.0525641025641026,004770
2021-04-08,4210,4240,3860,3940,4024811,-0.040194884287454324,004770
2021-04-09,3890,4150,3780,4000,3522025,0.015228426395939021,004770
2021-04-12,3925,4020,3900,3915,1260554,-0.02124999999999999,004770
2021-04-13,3890,3955,3875,3945,1026443,0.00766283524904221,004770
2021-04-14,3940,4000,3905,3975,953837,0.0076045627376426506,004770
2021-04-15,3950,3970,3920,3935,806002,-0.010062893081761004,004770
2021-04-16,3935,4040,3920,3970,1714627,0.008894536213468918,004770
2021-04-19,3950,3955,3800,3800,1404049,-0.04282115869017633,004770
2021-04-20,3760,3830,3740,3795,594292,-0.001315789473684159,004770
2021-04-21,3780,3825,3755,3770,547669,-0.006587615283267456,004770
2021-04-22,3775,3840,3760,3785,497629,0.003978779840848823,004770
2021-04-23,3790,3790,3700,3710,578191,-0.019815059445178362,004770
2021-04-26,3725,3780,3690,3765,600419,0.014824797843665749,004770
2021-04-27,3775,3795,3720,3785,592402,0.005312084993359889,004770
2021-04-28,3775,3775,3600,3610,688509,-0.04623513870541607,004770
2021-04-29,3595,3710,3595,3620,466769,0.0027700831024930483,004770
2021-04-30,3585,3650,3550,3570,483482,-0.013812154696132617,004770
