Date,Open,High,Low,Close,Volume,Change,Symbol
2021-01-04,4395,4395,4240,4280,339811,-0.03928170594837266,026940
2021-01-05,4275,4595,4270,4350,707763,0.016355140186915973,026940
2021-01-06,4400,4450,4300,4340,281489,-0.0022988505747126853,026940
2021-01-07,4420,4560,4375,4450,478646,0.025345622119815614,026940
2021-01-08,4485,4485,4375,4400,222931,-0.011235955056179803,026940
2021-01-11,4370,4405,4200,4325,295955,-0.017045454545454586,026940
2021-01-12,4320,4375,4230,4285,125741,-0.009248554913294793,026940
2021-01-13,4300,4300,4230,4260,123138,-0.005834305717619559,026940
2021-01-14,4295,4295,4225,4255,90306,-0.0011737089201877549,026940
2021-01-15,4255,4260,4050,4150,279809,-0.024676850763807323,026940
2021-01-18,4150,4225,4010,4045,193399,-0.025301204819277112,026940
2021-01-19,4040,4110,3990,4075,130941,0.007416563658838138,026940
2021-01-20,4105,4320,4070,4190,373782,0.02822085889570558,026940
2021-01-21,4195,4290,4150,4250,133344,0.014319809069212486,026940
2021-01-22,4250,4445,4205,4215,484246,-0.008235294117647007,026940
2021-01-25,4220,4270,4195,4210,109298,-0.0011862396204033177,026940
2021-01-26,4220,4220,4100,4135,165309,-0.017814726840855055,026940
2021-01-27,4135,4150,4085,4115,79143,-0.0048367593712213,026940
2021-01-28,4000,4080,3995,4010,139359,-0.025516403402187082,026940
2021-01-29,4015,4050,3805,3935,204596,-0.018703241895261846,026940
2021-02-01,3865,3920,3790,3850,162664,-0.021601016518424387,026940
2021-02-02,3850,3990,3850,3950,127665,0.025974025974025983,026940
2021-02-03,3955,3970,3920,3960,67220,0.0025316455696202667,026940
2021-02-04,3960,4040,3925,4025,117178,0.016414141414141437,026940
2021-02-05,4060,4060,4000,4015,53881,-0.00248447204968949,026940
2021-02-08,4015,4025,3955,3975,69349,-0.00996264009962644,026940
2021-02-09,3975,4010,3950,3995,36795,0.005031446540880502,026940
2021-02-10,3985,4065,3955,4050,51308,0.013767209011264159,026940
2021-02-15,4085,4085,3990,4065,98316,0.0037037037037037646,026940
2021-02-16,4065,4110,4040,4105,98911,0.009840098400984099,026940
2021-02-17,4130,4270,4110,4140,349073,0.008526187576126665,026940
2021-02-18,4200,4200,4055,4125,81551,-0.0036231884057971175,026940
2021-02-19,4110,4235,4035,4110,166275,-0.0036363636363636598,026940
2021-02-22,4145,4290,4115,4260,264705,0.03649635036496357,026940
2021-02-23,4200,4220,4080,4095,158670,-0.03873239436619713,026940
2021-02-24,4115,4275,3980,4010,390404,-0.020757020757020794,026940
2021-02-25,4030,4140,4020,4140,98271,0.032418952618453956,026940
2021-02-26,4075,4135,4025,4090,98271,-0.012077294685990392,026940
2021-03-02,4180,4230,4120,4170,117293,0.019559902200489088,026940
2021-03-03,4170,4365,4170,4335,372307,0.03956834532374098,026940
2021-03-04,4330,4515,4280,4475,909270,0.032295271049596286,026940
2021-03-05,4475,4475,4300,4420,252565,-0.012290502793296132,026940
2021-03-08,4450,4510,4300,4355,285758,-0.014705882352941124,026940
2021-03-09,4355,4360,4110,4170,318417,-0.042479908151549894,026940
2021-03-10,4205,4235,4020,4080,135584,-0.021582733812949617,026940
2021-03-11,4080,4185,4080,4130,77818,0.01225490196078427,026940
2021-03-12,4170,4200,4120,4195,113046,0.0157384987893463,026940
2021-03-15,4195,4195,4000,4085,151473,-0.026221692491060766,026940
2021-03-16,4125,4145,4050,4070,94586,-0.003671970624234966,026940
2021-03-17,4070,4090,4040,4085,76757,0.0036855036855036882,026940
