Date,Open,High,Low,Close,Volume,Change,Symbol
2021-01-04,5770,6080,5730,6020,431896,0.0433275563258233,092780
2021-01-05,6020,6210,5920,6090,821776,0.011627906976744207,092780
2021-01-06,6150,6190,5990,6040,319453,-0.008210180623973717,092780
2021-01-07,6040,6120,6010,6100,156528,0.009933774834437026,092780
2021-01-08,6110,6550,6050,6500,1483263,0.06557377049180335,092780
2021-01-11,6570,6700,5950,6340,688236,-0.024615384615384595,092780
2021-01-12,6200,6380,6030,6250,297407,-0.014195583596214534,092780
2021-01-13,6270,7090,6260,6590,2772961,0.054400000000000004,092780
2021-01-14,6740,6910,6520,6700,687395,0.01669195751138086,092780
2021-01-15,6700,6750,6340,6500,327362,-0.02985074626865669,092780
2021-01-18,6400,6470,6120,6190,238526,-0.0476923076923077,092780
2021-01-19,6190,6630,6150,6540,388868,0.056542810985460434,092780
2021-01-20,6750,6760,6500,6550,321153,0.001529051987767538,092780
2021-01-21,6680,6890,6500,6890,363329,0.051908396946564794,092780
2021-01-22,6840,6890,6650,6790,225450,-0.014513788098693747,092780
2021-01-25,6750,6890,6670,6770,151565,-0.002945508100147265,092780
2021-01-26,6820,6870,6520,6640,226975,-0.019202363367799125,092780
2021-01-27,6640,7130,6560,6790,1018059,0.02259036144578319,092780
2021-01-28,6720,7440,6600,7250,1512282,0.06774668630338732,092780
2021-01-29,7130,7180,6260,6380,682471,-0.12,092780
2021-02-01,6380,6880,6300,6830,294309,0.07053291536050166,092780
2021-02-02,6900,6990,6660,6790,165195,-0.005856515373352855,092780
2021-02-03,7290,7390,6910,7110,1526881,0.04712812960235646,092780
2021-02-04,7300,7450,7130,7290,870201,0.025316455696202445,092780
2021-02-05,7290,7420,7050,7080,402388,-0.028806584362139898,092780
2021-02-08,7050,7050,6530,6660,359470,-0.05932203389830504,092780
2021-02-09,6600,6850,6550,6790,178640,0.019519519519519468,092780
2021-02-10,6790,6790,6570,6660,117378,-0.019145802650957333,092780
2021-02-15,6740,6740,6580,6690,103405,0.0045045045045044585,092780
2021-02-16,6650,6730,6550,6580,90691,-0.01644245142002987,092780
2021-02-17,6580,6580,6370,6450,240980,-0.019756838905775065,092780
2021-02-18,6400,6460,6280,6320,158436,-0.020155038759689936,092780
2021-02-19,6350,6420,6150,6420,134772,0.015822784810126667,092780
2021-02-22,6420,6480,6280,6280,87423,-0.02180685358255452,092780
2021-02-23,6270,6270,6060,6130,142856,-0.023885350318471388,092780
2021-02-24,6130,6130,5700,5800,182226,-0.0538336052202284,092780
2021-02-25,5850,5970,5790,5910,84986,0.018965517241379404,092780
2021-02-26,5710,5880,5600,5760,98996,-0.025380710659898442,092780
2021-03-02,5920,5920,5710,5830,61004,0.012152777777777679,092780
2021-03-03,5830,6050,5800,6010,61097,0.030874785591766818,092780
2021-03-04,5860,6080,5810,6000,60758,-0.0016638935108153063,092780
2021-03-05,5900,6020,5770,5920,49898,-0.013333333333333308,092780
2021-03-08,5920,6030,5920,5950,61933,0.0050675675675675436,092780
2021-03-09,5900,5950,5650,5840,67555,-0.01848739495798324,092780
2021-03-10,5840,6030,5730,5840,31256,0.0,092780
2021-03-11,5780,5950,5760,5870,23820,0.005136986301369939,092780
2021-03-12,5930,6150,5930,6090,109992,0.03747870528109032,092780
2021-03-15,6100,6200,5960,6080,46898,-0.0016420361247947435,092780
