Date,Open,High,Low,Close,Volume,Change,Symbol
2021-01-04,8655,8655,8545,8575,3125,-0.009243212016175617,261110
2021-01-05,8660,8665,8605,8650,6634,0.008746355685131268,261110
2021-01-06,8650,8685,8645,8650,14229,0.0,261110
2021-01-07,8650,8690,8650,8665,817,0.001734104046242857,261110
2021-01-08,8750,8840,8705,8705,7776,0.00461627236006934,261110
2021-01-11,8780,8875,8775,8830,4192,0.014359563469270586,261110
2021-01-12,8830,8915,8825,8870,7834,0.0045300113250283935,261110
2021-01-13,8785,8810,8770,8795,3373,-0.008455467869222133,261110
2021-01-14,8830,8910,8830,8865,5643,0.007959067652075102,261110
2021-01-15,8810,8860,8800,8850,3114,-0.0016920473773265332,261110
2021-01-18,8940,8960,8915,8940,12003,0.01016949152542379,261110
2021-01-19,8940,8940,8880,8920,2306,-0.0022371364653244186,261110
2021-01-20,8895,8895,8840,8880,2002,-0.004484304932735439,261110
2021-01-21,8855,8880,8845,8855,2187,-0.0028153153153153143,261110
2021-01-22,8905,8940,8880,8925,2181,0.007905138339920903,261110
2021-01-25,8930,8955,8885,8885,1011,-0.004481792717086819,261110
2021-01-26,8905,8965,8885,8965,2441,0.009003939223410251,261110
2021-01-27,8920,8965,8905,8945,501,-0.002230897936419396,261110
2021-01-28,9035,9180,9035,9180,15766,0.026271660145332554,261110
2021-01-29,9105,9210,9085,9180,2593,0.0,261110
2021-02-01,9190,9200,9140,9140,586,-0.004357298474945481,261110
2021-02-02,9170,9180,9105,9155,809,0.001641137855579844,261110
2021-02-03,9120,9120,9070,9115,791,-0.0043691971600218205,261110
2021-02-04,9095,9185,9085,9160,2165,0.004936917169500843,261110
2021-02-05,9210,9315,9195,9260,3020,0.01091703056768556,261110
2021-02-08,9175,9215,9150,9195,5085,-0.007019438444924364,261110
2021-02-09,9160,9165,9100,9145,1106,-0.0054377379010331905,261110
2021-02-10,9060,9075,8990,8990,8367,-0.016949152542372836,261110
2021-02-15,8945,8945,8805,8890,3469,-0.011123470522803158,261110
2021-02-16,8890,8890,8825,8870,2437,-0.0022497187851518996,261110
2021-02-17,9000,9025,8955,8985,15262,0.012965050732807182,261110
2021-02-18,8960,8995,8920,8995,398,0.0011129660545352582,261110
2021-02-19,8990,9010,8955,8965,334,-0.0033351862145636346,261110
2021-02-22,8940,9020,8915,9020,4464,0.006134969325153339,261110
2021-02-23,9040,9065,8995,9035,4779,0.001662971175166339,261110
2021-02-24,9025,9070,8990,9065,3723,0.003320420586607531,261110
2021-02-25,8980,9040,8975,8995,416,-0.007722007722007707,261110
2021-02-26,9180,9250,9165,9230,8305,0.026125625347415138,261110
2021-03-02,9135,9275,9130,9250,1838,0.0021668472372697867,261110
2021-03-03,9250,9255,9200,9200,1747,-0.00540540540540535,261110
2021-03-04,9295,9330,9250,9280,709,0.008695652173912993,261110
2021-03-05,9350,9395,9270,9285,3015,0.0005387931034481763,261110
2021-03-08,9310,9400,9310,9400,3487,0.012385568120624635,261110
2021-03-09,9520,9575,9475,9520,7155,0.012765957446808418,261110
2021-03-10,9460,9590,9450,9555,3532,0.003676470588235281,261110
2021-03-11,9485,9520,9425,9445,1853,-0.01151229722658298,261110
2021-03-12,9350,9410,9300,9395,2831,-0.0052938062466914015,261110
2021-03-15,9435,9480,9420,9465,848,0.007450771687067537,261110
2021-03-16,9405,9440,9350,9350,2084,-0.012150026413100923,261110
2021-03-17,9380,9390,9360,9360,24,0.0010695187165774556,261110
2021-03-18,9230,9265,9220,9255,2024,-0.011217948717948678,261110
2021-03-19,9330,9410,9330,9360,2646,0.011345218800648205,261110
2021-03-22,9390,9390,9325,9325,795,-0.003739316239316226,261110
2021-03-23,9310,9345,9300,9345,178,0.002144772117962379,261110
2021-03-24,9420,9425,9390,9415,976,0.0074906367041198685,261110
2021-03-25,9415,9425,9395,9415,180,0.0,261110
2021-03-26,9405,9405,9340,9340,253,-0.007966011683483765,261110
2021-03-29,9375,9390,9375,9390,147,0.005353319057815886,261110
2021-03-30,9395,9420,9395,9420,300,0.0031948881789136685,261110
2021-03-31,9415,9415,9370,9390,130,-0.0031847133757961776,261110
2021-04-01,9310,9390,9295,9390,294,0.0,261110
2021-04-02,9300,9320,9295,9315,571,-0.007987220447284393,261110
2021-04-05,9310,9320,9310,9320,6633,0.0005367686527106841,261110
2021-04-06,9260,9275,9180,9180,2129,-0.015021459227467782,261110
2021-04-07,9165,9165,9105,9115,1642,-0.007080610021786504,261110
2021-04-08,9205,9205,9140,9140,2266,0.0027427317608337276,261110
2021-04-09,9115,9210,9085,9210,9337,0.007658643326039494,261110
2021-04-12,9200,9275,9195,9255,10487,0.004885993485342022,261110
2021-04-13,9275,9295,9265,9275,1534,0.002160994057266441,261110
2021-04-14,9210,9240,9130,9130,3730,-0.01563342318059302,261110
2021-04-15,9130,9175,9125,9140,607,0.0010952902519167917,261110
2021-04-16,9140,9175,9085,9085,4266,-0.006017505470459539,261110
2021-04-19,9165,9175,9100,9130,323,0.004953219592735314,261110
2021-04-20,9105,9120,9025,9035,1807,-0.010405257393209189,261110
2021-04-21,9125,9155,9120,9135,465,0.011068068622025473,261110
2021-04-22,9120,9135,9090,9135,2711,0.0,261110
2021-04-23,9190,9190,9150,9155,856,0.0021893814997262506,261110
2021-04-26,9110,9115,9035,9070,5375,-0.00928454396504641,261110
2021-04-27,9020,9055,9000,9000,2646,-0.007717750826901848,261110
2021-04-28,9065,9075,9030,9060,377,0.006666666666666599,261110
2021-04-29,8980,8980,8950,8975,1218,-0.00938189845474613,261110
2021-04-30,8980,9040,8965,9040,148,0.007242339832869149,261110
2021-05-03,9115,9220,9110,9220,5006,0.019911504424778848,261110
2021-05-04,9210,9215,9175,9210,3197,-0.0010845986984815426,261110
2021-05-06,9265,9285,9245,9275,1685,0.007057546145494031,261110
2021-05-07,9195,9215,9175,9215,487,-0.006469002695417836,261110
2021-05-10,9070,9105,9070,9080,3646,-0.014650027129679888,261110
2021-05-11,9120,9180,9115,9150,2705,0.007709251101321479,261110
