Date,Open,High,Low,Close,Volume,Change,Symbol
2021-01-04,98790,98790,98415,98415,21,-0.0010150738466223608,363570
2021-01-05,98680,98680,98680,98680,4,0.0026926789615404623,363570
2021-01-06,98665,98665,98570,98570,3,-0.0011147142278070676,363570
2021-01-07,98565,98565,98435,98565,26,-5.072537283146161e-05,363570
2021-01-08,98280,98280,98280,98280,9,-0.0028914929234514775,363570
2021-01-11,98840,98860,98800,98860,55,0.0059015059015059546,363570
2021-01-12,98925,98925,98455,98465,62,-0.0039955492615820765,363570
2021-01-13,98890,98890,98510,98510,39,0.00045701518306007216,363570
2021-01-14,98810,98810,98705,98710,56,0.002030250735965966,363570
2021-01-15,98675,98675,98660,98660,8,-0.0005065342923715743,363570
2021-01-18,98430,98750,98430,98550,29,-0.0011149401986620955,363570
2021-01-19,98840,98860,98750,98755,88,0.0020801623541348846,363570
2021-01-20,98815,98850,98815,98850,4,0.0009619766087793913,363570
2021-01-21,99005,99005,98550,98575,60,-0.002781992918563514,363570
2021-01-22,98730,98730,98400,98505,72,-0.0007101191985797728,363570
2021-01-25,98455,98455,98265,98325,21,-0.001827318410232981,363570
2021-01-26,97840,98255,97840,98255,19,-0.0007119247393846395,363570
2021-01-27,98330,98330,98275,98285,14,0.0003053279731310976,363570
2021-01-28,98255,98255,98255,98255,2,-0.00030523477641553054,363570
2021-01-29,98210,98210,98045,98045,7,-0.0021372958119180163,363570
2021-02-01,97725,97895,97725,97820,31,-0.0022948646029884445,363570
2021-02-02,97955,98050,97955,98050,16,0.0023512574115722717,363570
2021-02-03,98050,98050,98050,98050,0,0.0,363570
2021-02-04,98050,98055,98015,98015,52,-0.0003569607343192338,363570
2021-02-05,97905,97905,97875,97875,14,-0.001428352803142352,363570
2021-02-08,97965,97965,97910,97910,10,0.0003575989782886868,363570
2021-02-09,97915,97915,97570,97570,7,-0.0034725768562966497,363570
2021-02-10,97810,97810,97795,97810,4,0.002459772471046451,363570
2021-02-15,97605,97605,97535,97535,7,-0.002811573458746497,363570
2021-02-16,97495,97555,97495,97555,27,0.00020505459578612495,363570
2021-02-17,97315,97330,97265,97330,25,-0.0023063912664650355,363570
2021-02-18,97695,97695,97450,97450,2,0.0012329189355799741,363570
2021-02-19,97400,97455,97400,97455,4,5.1308363263169454e-05,363570
2021-02-22,97245,97255,97180,97180,17,-0.0028218151967575045,363570
