Date,Open,High,Low,Close,Volume,Change,Symbol
2021-01-04,21284,22021,21013,21440,4355156,0.016547342468351323,003490
2021-01-05,21400,22098,21013,21982,4013283,0.025279850746268595,003490
2021-01-06,21749,22292,21555,21905,4377141,-0.003502865981257375,003490
2021-01-07,22021,22176,21711,21866,2909181,-0.0017804154302670794,003490
2021-01-08,21866,21866,21323,21633,3624498,-0.010655812677215715,003490
2021-01-11,21633,24308,21284,22564,18754274,0.043036102251190256,003490
2021-01-12,22680,23223,22137,22835,6659698,0.012010281864917483,003490
2021-01-13,23184,24037,22796,23611,7304343,0.03398292095467492,003490
2021-01-14,23959,25587,23649,25394,11572949,0.07551564948540945,003490
2021-01-15,26053,27448,24541,24929,9721510,-0.01831141214460108,003490
2021-01-18,24502,24657,23378,23611,4329133,-0.05287015122949179,003490
2021-01-19,23610,24696,23571,24580,3076678,0.04104019313032059,003490
2021-01-20,24890,25045,24153,24851,2921124,0.011025223759153713,003490
2021-01-21,24618,25820,24347,25627,3679028,0.031226107601303843,003490
2021-01-22,25975,27293,25045,27100,11501503,0.05747844070706676,003490
2021-01-25,28200,31800,28100,30350,12392646,0.11992619926199266,003490
2021-01-26,30550,31700,30100,30500,5548593,0.0049423393739702615,003490
2021-01-27,30700,31000,29600,30400,2956393,-0.003278688524590123,003490
2021-01-28,29500,30200,29400,29650,2247422,-0.024671052631578982,003490
2021-01-29,29850,30050,28050,28700,3286551,-0.03204047217537942,003490
2021-02-01,28350,29500,27400,29450,2612135,0.026132404181184565,003490
2021-02-02,29700,29900,29100,29650,1581226,0.00679117147707986,003490
2021-02-03,29950,30300,29650,30100,2079003,0.015177065767284947,003490
2021-02-04,30250,30750,30000,30500,2530014,0.013289036544850585,003490
2021-02-05,30500,30550,29550,30000,2312430,-0.016393442622950838,003490
2021-02-08,30250,31950,30050,31400,7227875,0.046666666666666634,003490
2021-02-09,31500,31600,30350,30450,3264604,-0.030254777070063743,003490
2021-02-10,30550,30650,29950,30500,2032707,0.0016420361247948545,003490
2021-02-15,30550,30600,29900,30000,2653699,-0.016393442622950838,003490
2021-02-16,29950,30000,29000,29100,5259840,-0.030000000000000027,003490
2021-02-17,29050,29100,28200,28550,3080728,-0.018900343642611728,003490
2021-02-18,28550,29050,28100,28700,2029506,0.005253940455341555,003490
2021-02-19,28500,28650,28050,28500,1851490,-0.006968641114982632,003490
2021-02-22,28650,28800,28150,28200,1960575,-0.010526315789473717,003490
