Date,Open,High,Low,Close,Volume,Change,Symbol
2021-11-24,9776,9776,9476,9595,572782,,407300
2021-11-25,9604,9653,9560,9560,162304,-0.0036477331943720603,407300
2021-11-26,9560,9609,9388,9403,102562,-0.01642259414225944,407300
2021-11-29,9142,9388,9142,9255,113267,-0.015739657556099074,407300
2021-11-30,9299,9383,8891,8990,34418,-0.028633171258779067,407300
2021-12-01,9004,9093,8847,9088,34194,0.010901001112347153,407300
2021-12-02,8960,9078,8876,9059,37116,-0.003191021126760618,407300
2021-12-03,9043,9284,9029,9260,28495,0.02218787945689371,407300
2021-12-06,9161,9201,9078,9162,14324,-0.010583153347732188,407300
2021-12-07,9196,9275,9127,9241,29642,0.008622571490940922,407300
2021-12-08,9319,9363,9240,9270,10272,0.003138188507737283,407300
2021-12-09,9275,9412,9275,9388,15795,0.012729234088457497,407300
2021-12-10,9363,9383,9314,9344,11971,-0.0046868342564976295,407300
2021-12-13,9388,9388,9245,9260,11922,-0.008989726027397227,407300
2021-12-14,9191,9235,9127,9157,11801,-0.011123110151187943,407300
2021-12-15,9107,9230,9088,9118,7138,-0.004259036802446214,407300
2021-12-16,9201,9201,9083,9093,4155,-0.0027418293485413914,407300
2021-12-17,9068,9112,9029,9103,20352,0.0010997470581766144,407300
2021-12-20,9083,9083,8945,8965,13923,-0.015159837416236388,407300
2021-12-21,8965,9004,8891,8965,5315,0.0,407300
2021-12-22,9014,9083,8989,9024,5759,0.006581148912437218,407300
2021-12-23,9048,9068,8994,9024,17958,0.0,407300
2021-12-24,9024,9098,9024,9078,17368,0.005984042553191404,407300
2021-12-27,9078,9137,9058,9118,3697,0.004406256884776472,407300
2021-12-28,9196,9196,9048,9088,13009,-0.003290195218249581,407300
2021-12-29,9142,9206,9122,9177,5001,0.009793133802816989,407300
2021-12-30,9186,9304,9161,9305,26840,0.013947913261414424,407300
2022-01-03,9309,9373,9299,9314,10688,0.0009672219236969148,407300
2022-01-04,9314,9393,9299,9378,18427,0.0068713764225896146,407300
2022-01-05,9368,9383,9279,9319,28304,-0.006291320110897836,407300
2022-01-06,9225,9225,9024,9024,13183,-0.03165575705547807,407300
2022-01-07,9038,9161,9038,9162,13367,0.015292553191489366,407300
2022-01-10,9201,9201,9098,9118,7816,-0.004802444881030321,407300
2022-01-11,9117,9117,8920,8965,19105,-0.016779995613073084,407300
2022-01-12,9038,9107,8999,9098,16539,0.014835471277188983,407300
2022-01-13,9147,9147,9029,9054,2828,-0.004836227742360921,407300
2022-01-14,9009,9009,8940,8941,33083,-0.012480671526397202,407300
2022-01-17,8965,8965,8812,8842,15217,-0.01107258695895319,407300
2022-01-18,8861,8906,8724,8724,3479,-0.013345396969011492,407300
2022-01-19,8645,8748,8606,8724,8892,0.0,407300
2022-01-20,8724,8822,8679,8823,10373,0.011348005502063163,407300
2022-01-21,8724,8783,8670,8714,5620,-0.012354074577808016,407300
2022-01-24,8699,8699,8468,8513,12647,-0.02306633004360803,407300
2022-01-25,8517,8527,8301,8355,7170,-0.018559849641724413,407300
2022-01-26,8345,8399,8271,8346,5668,-0.0010771992818671139,407300
2022-01-27,8247,8247,7986,8006,5049,-0.04073807812125574,407300
2022-01-28,8001,8212,7912,8208,5258,0.025231076692480592,407300
2022-02-03,8320,8375,8320,8336,8622,0.015594541910331383,407300
2022-02-04,8345,8557,8345,8557,1923,0.026511516314779326,407300
2022-02-07,8557,8581,8498,8557,1323,0.0,407300
2022-02-08,8640,8689,8547,8601,24805,0.005141989014841641,407300
2022-02-09,8694,8719,8630,8719,37161,0.013719334961050933,407300
2022-02-10,8753,8753,8665,8705,26935,-0.0016056887257712704,407300
2022-02-11,8591,8640,8557,8591,10206,-0.013095921883974682,407300
2022-02-14,8414,8458,8325,8380,902,-0.024560586660458572,407300
2022-02-15,8399,8429,8286,8287,927,-0.011097852028639665,407300
2022-02-16,8414,8498,8414,8498,2606,0.02546156630867613,407300
2022-02-17,8498,8537,8335,8410,74495,-0.010355377735937865,407300
2022-02-18,8286,8463,8286,8454,33457,0.0052318668252080425,407300
2022-02-21,8375,8473,8340,8473,974,0.0022474568251715787,407300
2022-02-22,8350,8365,8291,8321,1654,-0.017939336716629284,407300
2022-02-23,8360,8448,8320,8449,9322,0.015382766494411726,407300
2022-02-24,8360,8370,8242,8267,7940,-0.02154101077050541,407300
2022-02-25,8384,8488,8370,8488,1467,0.02673279303253895,407300
2022-02-28,8478,8552,8473,8552,20942,0.007540056550424223,407300
2022-03-02,8547,8665,8547,8655,22835,0.012043966323666888,407300
2022-03-03,8719,8793,8675,8788,45601,0.015366839976892033,407300
2022-03-04,8793,8793,8660,8714,36030,-0.008420573509330898,407300
2022-03-07,8596,8596,8439,8473,10066,-0.02765664448014693,407300
2022-03-08,8330,8424,8330,8380,5132,-0.01097604154372711,407300
2022-03-10,8542,8586,8537,8567,13021,0.022315035799522764,407300
2022-03-11,8591,8660,8566,8660,27518,0.010855608731177746,407300
2022-03-14,8650,8655,8517,8532,5663,-0.014780600461893778,407300
2022-03-15,8502,8537,8478,8508,448,-0.002812939521800284,407300
2022-03-16,8591,8650,8557,8650,2426,0.016690173953925802,407300
2022-03-17,8783,8783,8704,8714,1357,0.0073988439306358345,407300
2022-03-18,8729,8748,8689,8749,1711,0.004016525131971482,407300
2022-03-21,8768,8802,8719,8729,4311,-0.0022859755400617132,407300
2022-03-22,8729,8734,8699,8734,1562,0.0005728032993470578,407300
2022-03-23,8748,8793,8743,8788,2637,0.006182734142431867,407300
2022-03-24,8689,8734,8625,8734,1620,-0.00614474283113331,407300
2022-03-25,8724,8724,8650,8675,8249,-0.006755209525990402,407300
2022-03-28,8665,8679,8616,8680,117367,0.0005763688760807018,407300
2022-03-29,8724,8739,8694,8734,16951,0.006221198156681984,407300
2022-03-30,8793,8793,8734,8734,1020,0.0,407300
2022-03-31,8739,8852,8739,8852,13254,0.013510419051980804,407300
2022-04-01,8812,8812,8763,8803,9811,-0.0055354722096701,407300
2022-04-04,8837,8852,8783,8852,22740,0.005566284221288242,407300
2022-04-05,8866,8916,8857,8896,4311,0.004970628106642616,407300
2022-04-06,8876,8876,8822,8857,2377,-0.00438399280575541,407300
2022-04-07,8783,8783,8743,8769,5130,-0.009935644123292287,407300
2022-04-08,8788,8788,8684,8695,2168,-0.008438818565400852,407300
2022-04-11,8684,8748,8655,8700,808,0.0005750431282345314,407300
2022-04-12,8635,8635,8527,8577,1950,-0.014137931034482798,407300
2022-04-13,8542,8625,8542,8591,2378,0.0016322723563018116,407300
2022-04-14,8665,8714,8660,8714,927,0.014317308811546914,407300
2022-04-15,8679,8679,8640,8641,960,-0.008377323846683549,407300
2022-04-18,8650,8758,8650,8759,5190,0.01365582687188982,407300
2022-04-19,8778,8793,8743,8793,1416,0.0038817216577233804,407300
2022-04-20,8793,8802,8743,8793,2359,0.0,407300
2022-04-21,8827,8827,8793,8793,1834,0.0,407300
2022-04-22,8763,8763,8675,8719,1286,-0.008415785283748423,407300
2022-04-25,8566,8611,8448,8449,2060,-0.03096685399701804,407300
2022-04-26,8522,8532,8498,8523,2657,0.008758432950645156,407300
2022-04-27,8296,8380,8296,8380,4724,-0.01677812976651416,407300
2022-04-28,8380,8460,8365,8450,15826,0.00835322195704058,407300
2022-04-29,8505,8540,8490,8540,920,0.010650887573964596,407300
2022-05-02,8540,8630,8540,8630,6529,0.01053864168618257,407300
2022-05-03,8630,8660,8600,8600,7869,-0.0034762456546929554,407300
2022-05-04,8680,8700,8640,8655,7791,0.006395348837209269,407300
2022-05-06,8575,8615,8540,8590,465,-0.007510109763142703,407300
2022-05-09,8580,8580,8400,8400,892,-0.02211874272409775,407300
2022-05-10,8290,8420,8175,8420,10466,0.0023809523809523725,407300
2022-05-11,8390,8440,8390,8415,115,-0.00059382422802845,407300
2022-05-12,8320,8415,8230,8230,1364,-0.021984551396316054,407300
2022-05-13,8290,8340,8290,8320,5816,0.010935601458080146,407300
2022-05-16,8365,8385,8355,8385,439,0.0078125,407300
2022-05-17,8385,8415,8360,8415,3001,0.003577817531305927,407300
2022-05-18,8465,8465,8395,8415,431,0.0,407300
2022-05-19,8245,8265,8180,8265,780,-0.017825311942959,407300
2022-05-20,8285,8295,8245,8295,2813,0.003629764065335772,407300
2022-05-23,8240,8245,8200,8245,1015,-0.006027727546714878,407300
2022-05-24,8215,8215,8105,8110,3473,-0.016373559733171672,407300
2022-05-25,8115,8210,8115,8170,1193,0.007398273736128225,407300
2022-05-26,8195,8245,8140,8175,834,0.000611995104039087,407300
2022-05-27,8270,8270,8215,8240,801,0.00795107033639142,407300
2022-05-30,8300,8390,8300,8375,804,0.016383495145630977,407300
2022-05-31,8395,8430,8345,8410,1222,0.00417910447761205,407300
2022-06-02,8400,8400,8295,8315,606,-0.011296076099881147,407300
2022-06-03,8385,8405,8355,8385,1748,0.008418520745640423,407300
2022-06-07,8340,8340,8225,8225,1517,-0.019081693500298202,407300
2022-06-08,8255,8270,8225,8225,697,0.0,407300
2022-06-09,8180,8225,8135,8225,742,0.0,407300
2022-06-10,8145,8180,8110,8180,807,-0.00547112462006083,407300
