Date,Open,High,Low,Close,Volume,Change,Symbol
2021-01-04,1095,1120,1085,1120,232245,0.022831050228310446,071950
2021-01-05,1110,1125,1100,1115,231074,-0.004464285714285698,071950
2021-01-06,1120,1130,1110,1130,297606,0.013452914798206317,071950
2021-01-07,1130,1135,1115,1125,256816,-0.004424778761061954,071950
2021-01-08,1130,1145,1110,1120,314712,-0.004444444444444473,071950
2021-01-11,1125,1125,1080,1085,427800,-0.03125,071950
2021-01-12,1085,1115,1080,1105,319934,0.018433179723502224,071950
2021-01-13,1110,1120,1105,1110,250636,0.004524886877828038,071950
2021-01-14,1115,1375,1115,1230,28981273,0.10810810810810811,071950
2021-01-15,1225,1260,1195,1230,3142797,0.0,071950
2021-01-18,1275,1395,1225,1300,12196285,0.05691056910569103,071950
2021-01-19,1275,1340,1230,1270,4564582,-0.023076923076923106,071950
2021-01-20,1270,1310,1240,1280,1750022,0.007874015748031482,071950
2021-01-21,1270,1315,1270,1275,1407016,-0.00390625,071950
2021-01-22,1280,1355,1240,1345,2773036,0.05490196078431375,071950
2021-01-25,1335,1335,1285,1290,1164280,-0.040892193308550207,071950
2021-01-26,1290,1305,1245,1265,830041,-0.019379844961240345,071950
2021-01-27,1265,1290,1245,1245,576829,-0.015810276679841917,071950
2021-01-28,1235,1265,1225,1245,549694,0.0,071950
2021-01-29,1245,1255,1135,1160,1173291,-0.06827309236947787,071950
2021-02-01,1155,1235,1140,1180,914981,0.01724137931034475,071950
2021-02-02,1175,1255,1175,1240,815881,0.05084745762711873,071950
2021-02-03,1240,1265,1215,1265,542843,0.02016129032258074,071950
2021-02-04,1280,1280,1200,1205,552630,-0.04743083003952564,071950
2021-02-05,1210,1220,1185,1205,288219,0.0,071950
2021-02-08,1190,1215,1180,1195,331676,-0.008298755186721962,071950
2021-02-09,1195,1215,1180,1195,271091,0.0,071950
2021-02-10,1195,1205,1175,1200,173071,0.004184100418409997,071950
2021-02-15,1210,1210,1180,1200,270726,0.0,071950
2021-02-16,1210,1235,1195,1210,279381,0.008333333333333304,071950
2021-02-17,1220,1265,1205,1260,618558,0.04132231404958686,071950
2021-02-18,1260,1260,1220,1230,219261,-0.023809523809523836,071950
2021-02-19,1225,1230,1185,1220,333955,-0.008130081300813052,071950
2021-02-22,1215,1245,1210,1220,183947,0.0,071950
2021-02-23,1200,1220,1190,1195,222339,-0.020491803278688492,071950
2021-02-24,1195,1200,1140,1140,450819,-0.046025104602510414,071950
2021-02-25,1160,1180,1160,1175,102533,0.030701754385964897,071950
2021-02-26,1140,1175,1135,1160,232033,-0.012765957446808529,071950
2021-03-02,1165,1175,1140,1155,136110,-0.004310344827586188,071950
2021-03-03,1155,1165,1150,1165,86300,0.008658008658008587,071950
2021-03-04,1155,1165,1120,1150,316585,-0.012875536480686733,071950
2021-03-05,1145,1145,1130,1140,97045,-0.008695652173912993,071950
2021-03-08,1140,1150,1135,1145,118373,0.004385964912280604,071950
2021-03-09,1145,1155,1120,1145,147772,0.0,071950
2021-03-10,1145,1150,1130,1140,125976,-0.004366812227074246,071950
2021-03-11,1140,1190,1135,1165,325785,0.021929824561403466,071950
2021-03-12,1175,1200,1140,1170,250630,0.0042918454935623185,071950
2021-03-15,1170,1190,1155,1180,129503,0.008547008547008517,071950
2021-03-16,1180,1195,1170,1185,138526,0.004237288135593209,071950
2021-03-17,1185,1195,1175,1190,152914,0.00421940928270037,071950
2021-03-18,1190,1200,1175,1195,221943,0.004201680672268893,071950
2021-03-19,1185,1205,1175,1200,249499,0.004184100418409997,071950
2021-03-22,1210,1210,1175,1190,183255,-0.008333333333333304,071950
2021-03-23,1180,1195,1155,1170,122750,-0.01680672268907568,071950
2021-03-24,1165,1175,1155,1175,81229,0.004273504273504258,071950
2021-03-25,1165,1180,1160,1175,66617,0.0,071950
2021-03-26,1175,1185,1170,1180,119637,0.004255319148936065,071950
2021-03-29,1180,1185,1170,1175,81994,-0.004237288135593209,071950
2021-03-30,1180,1185,1165,1175,150094,0.0,071950
2021-03-31,1175,1180,1160,1165,107214,-0.008510638297872353,071950
2021-04-01,1165,1175,1160,1165,133410,0.0,071950
2021-04-02,1165,1170,1160,1170,181068,0.0042918454935623185,071950
2021-04-05,1170,1180,1155,1180,187137,0.008547008547008517,071950
2021-04-06,1185,1185,1160,1180,151391,0.0,071950
2021-04-07,1180,1185,1160,1185,241695,0.004237288135593209,071950
2021-04-08,1190,1220,1175,1190,477905,0.00421940928270037,071950
2021-04-09,1195,1235,1190,1230,650293,0.03361344537815136,071950
2021-04-12,1230,1245,1205,1240,528226,0.008130081300812941,071950
2021-04-13,1240,1245,1200,1225,336405,-0.012096774193548376,071950
2021-04-14,1225,1245,1200,1235,565802,0.008163265306122547,071950
2021-04-15,1240,1255,1225,1240,267072,0.004048582995951344,071950
2021-04-16,1245,1245,1220,1245,186630,0.0040322580645162365,071950
2021-04-19,1245,1245,1210,1225,301960,-0.016064257028112428,071950
2021-04-20,1225,1240,1210,1235,209473,0.008163265306122547,071950
2021-04-21,1235,1250,1220,1220,279465,-0.012145748987854255,071950
2021-04-22,1220,1300,1220,1270,1876943,0.040983606557376984,071950
2021-04-23,1270,1275,1240,1260,417383,-0.007874015748031482,071950
2021-04-26,1260,1280,1245,1265,441161,0.003968253968253954,071950
2021-04-27,1270,1290,1260,1280,501373,0.011857707509881354,071950
2021-04-28,1270,1280,1220,1220,548258,-0.046875,071950
2021-04-29,1210,1230,1190,1225,362976,0.004098360655737654,071950
2021-04-30,1215,1250,1210,1235,274931,0.008163265306122547,071950
2021-05-03,1235,1260,1225,1230,338390,-0.004048582995951455,071950
2021-05-04,1230,1255,1205,1255,277399,0.020325203252032464,071950
2021-05-06,1255,1275,1250,1275,420000,0.015936254980079667,071950
2021-05-07,1285,1290,1265,1285,494493,0.007843137254901933,071950
2021-05-10,1290,1300,1280,1295,533390,0.0077821011673151474,071950
2021-05-11,1290,1325,1270,1325,890201,0.02316602316602312,071950
2021-05-12,1330,1360,1275,1295,977776,-0.02264150943396226,071950
2021-05-13,1265,1315,1250,1290,553688,-0.0038610038610038533,071950
